region,experiment,year,mean_temp,anomaly
temperate,historical,1886,278.8108215332031,-0.18507080078126137
temperate,historical,1887,278.76495361328125,-0.23093872070313637
temperate,historical,1888,278.7883605957031,-0.20753173828126137
temperate,historical,1889,278.8061218261719,-0.18977050781251137
temperate,historical,1890,278.7969665527344,-0.19892578125001137
temperate,historical,1891,278.8144836425781,-0.18140869140626137
temperate,historical,1892,278.8998718261719,-0.09602050781251137
temperate,historical,1893,278.9693298339844,-0.02656250000001137
temperate,historical,1894,278.7929077148437,-0.2029846191406932
temperate,historical,1895,278.8641357421875,-0.13175659179688637
temperate,historical,1896,278.94927978515625,-0.04661254882813637
temperate,historical,1897,279.0585021972656,0.06260986328123863
temperate,historical,1898,279.1640625,0.16817016601561363
temperate,historical,1899,278.8225402832031,-0.17335205078126137
temperate,historical,1900,278.82177734375,-0.17411499023438637
temperate,historical,1901,278.6832580566406,-0.31263427734376137
temperate,historical,1902,278.8219909667969,-0.17390136718751137
temperate,historical,1903,278.7208251953125,-0.27506713867188637
temperate,historical,1904,278.76513671875,-0.23075561523438637
temperate,historical,1905,279.0043029785156,0.008410644531238631
temperate,historical,1906,278.8861083984375,-0.10978393554688637
temperate,historical,1907,278.864990234375,-0.13090209960938637
temperate,historical,1908,278.6352233886719,-0.36066894531251137
temperate,historical,1909,278.7802734375,-0.21561889648438637
temperate,historical,1910,278.74755859375,-0.24833374023438637
temperate,historical,1911,278.905029296875,-0.09086303710938637
temperate,historical,1912,278.8345031738281,-0.16138916015626137
temperate,historical,1913,279.0042724609375,0.008380126953113631
temperate,historical,1914,278.9115905761719,-0.08430175781251137
temperate,historical,1915,278.8760681152344,-0.11982421875001137
temperate,historical,1916,278.8589172363281,-0.13697509765626137
temperate,historical,1917,279.0636291503906,0.06773681640623863
temperate,historical,1918,278.92059326171875,-0.07529907226563637
temperate,historical,1919,279.0895080566406,0.09361572265623863
temperate,historical,1920,278.9381103515625,-0.05778198242188637
temperate,historical,1921,279.12115478515625,0.12526245117186363
temperate,historical,1922,279.0835876464844,0.08769531249998863
temperate,historical,1923,279.1420288085937,0.1461364746093068
temperate,historical,1924,279.08624267578125,0.09035034179686363
temperate,historical,1925,279.0926513671875,0.09675903320311363
temperate,historical,1926,279.2132873535156,0.21739501953123863
temperate,historical,1927,279.1925048828125,0.19661254882811363
temperate,historical,1928,279.1756286621094,0.17973632812498863
