,region,experiment,year,mean_temp,anomaly
551,polar,historical,1906,253.2978973388672,-0.46868896484375
552,polar,historical,1907,252.87103271484375,-0.8955535888671875
553,polar,historical,1908,252.75592041015625,-1.0106658935546875
554,polar,historical,1909,253.05796813964844,-0.7086181640625
555,polar,historical,1910,253.14508056640625,-0.6215057373046875
556,polar,historical,1911,253.5616912841797,-0.20489501953125
557,polar,historical,1912,253.2188720703125,-0.5477142333984375
558,polar,historical,1913,253.34141540527344,-0.4251708984375
559,polar,historical,1914,253.16587829589844,-0.6007080078125
560,polar,historical,1915,252.85206604003906,-0.914520263671875
561,polar,historical,1916,253.01727294921875,-0.7493133544921875
562,polar,historical,1917,253.142822265625,-0.6237640380859375
563,polar,historical,1918,253.34014892578125,-0.4264373779296875
564,polar,historical,1919,253.1276092529297,-0.63897705078125
565,polar,historical,1920,253.43312072753906,-0.333465576171875
566,polar,historical,1921,253.6767120361328,-0.089874267578125
567,polar,historical,1922,253.22886657714844,-0.5377197265625
568,polar,historical,1923,253.8446502685547,0.07806396484375
569,polar,historical,1924,253.7183837890625,-0.0482025146484375
570,polar,historical,1925,253.40248107910156,-0.364105224609375
571,polar,historical,1926,253.3540496826172,-0.41253662109375
572,polar,historical,1927,254.2061309814453,0.439544677734375
573,polar,historical,1928,253.60968017578125,-0.1569061279296875
574,polar,historical,1929,253.24749755859375,-0.5190887451171875
575,polar,historical,1930,253.5066375732422,-0.25994873046875
576,polar,historical,1931,253.68495178222656,-0.081634521484375
577,polar,historical,1932,254.4625701904297,0.69598388671875
578,polar,historical,1933,253.63096618652344,-0.1356201171875
579,polar,historical,1934,252.96876525878906,-0.797821044921875
580,polar,historical,1935,253.81756591796875,0.0509796142578125
581,polar,historical,1936,253.6909942626953,-0.075592041015625
582,polar,historical,1937,253.5059356689453,-0.260650634765625
583,polar,historical,1938,254.0970458984375,0.3304595947265625
584,polar,historical,1939,253.8956756591797,0.12908935546875
585,polar,historical,1940,253.3341522216797,-0.43243408203125
586,polar,historical,1941,253.6804656982422,-0.08612060546875
587,polar,historical,1942,254.05076599121094,0.2841796875
588,polar,historical,1943,253.49383544921875,-0.2727508544921875
589,polar,historical,1944,253.791259765625,0.0246734619140625
590,polar,historical,1945,253.49664306640625,-0.2699432373046875
591,polar,historical,1946,252.9629669189453,-0.803619384765625
592,polar,historical,1947,253.6223907470703,-0.144195556640625
593,polar,historical,1948,253.31890869140625,-0.4476776123046875
594,polar,historical,1949,254.23057556152344,0.4639892578125
595,polar,historical,1950,254.04310607910156,0.276519775390625
596,polar,historical,1951,253.5948028564453,-0.171783447265625
597,polar,historical,1952,254.0416259765625,0.2750396728515625
598,polar,historical,1953,254.40711975097656,0.640533447265625
599,polar,historical,1954,254.04478454589844,0.2781982421875
600,polar,historical,1955,254.21165466308594,0.445068359375
601,polar,historical,1956,254.3477783203125,0.5811920166015625
602,polar,historical,1957,253.2912139892578,-0.475372314453125
603,polar,historical,1958,253.1254119873047,-0.64117431640625
604,polar,historical,1959,253.1043701171875,-0.6622161865234375
605,polar,historical,1960,253.1057891845703,-0.660797119140625
606,polar,historical,1961,253.42454528808594,-0.342041015625
607,polar,historical,1962,254.0518035888672,0.28521728515625
608,polar,historical,1963,253.744384765625,-0.0222015380859375
609,polar,historical,1964,254.16294860839844,0.3963623046875
610,polar,historical,1965,253.3048858642578,-0.461700439453125
611,polar,historical,1966,253.37548828125,-0.3910980224609375
612,polar,historical,1967,253.34446716308594,-0.422119140625
613,polar,historical,1968,254.05455017089844,0.2879638671875
614,polar,historical,1969,253.4348602294922,-0.33172607421875
615,polar,historical,1970,253.75685119628906,-0.009735107421875
616,polar,historical,1971,253.7347869873047,-0.03179931640625
617,polar,historical,1972,253.93675231933594,0.170166015625
618,polar,historical,1973,253.88719177246094,0.12060546875
619,polar,historical,1974,254.1707305908203,0.404144287109375
620,polar,historical,1975,253.30999755859375,-0.4565887451171875
621,polar,historical,1976,253.6181182861328,-0.148468017578125
622,polar,historical,1977,254.00572204589844,0.2391357421875
623,polar,historical,1978,253.9864959716797,0.21990966796875
624,polar,historical,1979,254.26564025878906,0.499053955078125
625,polar,historical,1980,254.1523895263672,0.38580322265625
626,polar,historical,1981,254.21827697753906,0.451690673828125
627,polar,historical,1982,254.09869384765625,0.3321075439453125
628,polar,historical,1983,253.2212371826172,-0.54534912109375
629,polar,historical,1984,253.276123046875,-0.4904632568359375
630,polar,historical,1985,254.068359375,0.3017730712890625
631,polar,historical,1986,254.0341339111328,0.267547607421875
632,polar,historical,1987,254.51829528808594,0.751708984375
633,polar,historical,1988,254.6976318359375,0.9310455322265625
634,polar,historical,1989,254.65992736816406,0.893341064453125
635,polar,historical,1990,254.2079620361328,0.441375732421875
636,polar,historical,1991,253.97096252441406,0.204376220703125
637,polar,historical,1992,253.5807342529297,-0.18585205078125
638,polar,historical,1993,253.7213134765625,-0.0452728271484375
639,polar,historical,1994,254.3521270751953,0.585540771484375
640,polar,historical,1995,254.06593322753906,0.299346923828125
641,polar,historical,1996,254.15557861328125,0.3889923095703125
642,polar,historical,1997,254.231689453125,0.4651031494140625
643,polar,historical,1998,254.7047882080078,0.938201904296875
644,polar,historical,1999,254.61961364746094,0.85302734375
645,polar,historical,2000,254.8629913330078,1.096405029296875
646,polar,historical,2001,255.6273193359375,1.8607330322265625
647,polar,historical,2002,255.3070831298828,1.540496826171875
648,polar,historical,2003,255.41407775878906,1.647491455078125
649,polar,historical,2004,255.1941375732422,1.42755126953125
650,polar,historical,2005,255.1029815673828,1.336395263671875
651,polar,historical,2006,254.8821563720703,1.115570068359375
652,polar,historical,2007,255.1949005126953,1.428314208984375
653,polar,historical,2008,255.58506774902344,1.8184814453125
654,polar,historical,2009,255.1215057373047,1.35491943359375
655,polar,historical,2010,255.4132843017578,1.646697998046875
656,polar,historical,2011,255.73638916015625,1.9698028564453125
657,polar,historical,2012,256.09210205078125,2.3255157470703125
658,polar,historical,2013,255.4114227294922,1.64483642578125
659,polar,historical,2014,255.5307159423828,1.764129638671875
660,tropical,ssp126,2015,299.41571044921875,
661,tropical,ssp126,2016,299.5738830566406,
662,tropical,ssp126,2017,299.3739318847656,
663,tropical,ssp126,2018,299.9108581542969,
664,tropical,ssp126,2019,299.7259826660156,
665,tropical,ssp126,2020,299.42572021484375,
666,tropical,ssp126,2021,299.7931823730469,
667,tropical,ssp126,2022,300.0185546875,
668,tropical,ssp126,2023,299.59149169921875,
669,tropical,ssp126,2024,299.8768615722656,
670,tropical,ssp126,2025,299.9209289550781,
671,tropical,ssp126,2026,299.4957275390625,
672,tropical,ssp126,2027,299.5059509277344,
673,tropical,ssp126,2028,299.6719970703125,
674,tropical,ssp126,2029,299.83856201171875,
675,tropical,ssp126,2030,299.8931884765625,
676,tropical,ssp126,2031,299.4304504394531,
677,tropical,ssp126,2032,299.68328857421875,
678,tropical,ssp126,2033,299.95513916015625,
679,tropical,ssp126,2034,300.1571044921875,
680,tropical,ssp126,2035,300.1223449707031,
681,tropical,ssp126,2036,300.2662048339844,
682,tropical,ssp126,2037,299.9170227050781,
683,tropical,ssp126,2038,300.1154479980469,
684,tropical,ssp126,2039,300.0398864746094,
685,tropical,ssp126,2040,300.1719665527344,
686,tropical,ssp126,2041,300.4928283691406,
687,tropical,ssp126,2042,300.0928649902344,
688,tropical,ssp126,2043,300.2611389160156,
689,tropical,ssp126,2044,300.4283752441406,
690,tropical,ssp126,2045,299.95550537109375,
691,tropical,ssp126,2046,300.2002868652344,
692,tropical,ssp126,2047,300.2762756347656,
693,tropical,ssp126,2048,300.3194885253906,
694,tropical,ssp126,2049,300.310546875,
695,tropical,ssp126,2050,300.3943176269531,
696,tropical,ssp126,2051,300.2204284667969,
697,tropical,ssp126,2052,300.5375671386719,
698,tropical,ssp126,2053,300.2983093261719,
699,tropical,ssp126,2054,300.4506530761719,
700,tropical,ssp126,2055,300.536865234375,
701,tropical,ssp126,2056,300.1224060058594,
702,tropical,ssp126,2057,300.4103088378906,
703,tropical,ssp126,2058,300.59991455078125,
704,tropical,ssp126,2059,299.99932861328125,
705,tropical,ssp126,2060,300.3524169921875,
706,tropical,ssp126,2061,300.47296142578125,
707,tropical,ssp126,2062,300.0959777832031,
708,tropical,ssp126,2063,300.4007568359375,
709,tropical,ssp126,2064,300.6761779785156,
710,tropical,ssp126,2065,300.4896240234375,
711,tropical,ssp126,2066,300.1429443359375,
712,tropical,ssp126,2067,300.5166320800781,
713,tropical,ssp126,2068,300.6393737792969,
714,tropical,ssp126,2069,300.6338806152344,
715,tropical,ssp126,2070,300.1385803222656,
716,tropical,ssp126,2071,300.40869140625,
717,tropical,ssp126,2072,300.4519958496094,
718,tropical,ssp126,2073,300.1311340332031,
719,tropical,ssp126,2074,300.4106140136719,
720,tropical,ssp126,2075,300.39019775390625,
721,tropical,ssp126,2076,300.4842529296875,
722,tropical,ssp126,2077,300.5171813964844,
723,tropical,ssp126,2078,299.9812316894531,
724,tropical,ssp126,2079,300.5068664550781,
725,tropical,ssp126,2080,300.6023254394531,
726,tropical,ssp126,2081,300.0359191894531,
727,tropical,ssp126,2082,300.1525573730469,
728,tropical,ssp126,2083,300.6924743652344,
729,tropical,ssp126,2084,300.7716064453125,
730,tropical,ssp126,2085,300.6583557128906,
