,region,year,mean_temp,anomaly
86,tropical,1936,298.81964111328125,0.2065327912569046
87,tropical,1937,298.6446228027344,0.0315297432243824
88,tropical,1938,298.47210693359375,-0.14098866283893585
89,tropical,1939,298.4615173339844,-0.151611328125
90,tropical,1940,298.677978515625,0.0648702010512352
91,tropical,1941,298.3985900878906,-0.2145131379365921
92,tropical,1942,298.6631164550781,0.05003102496266365
93,tropical,1943,298.7562255859375,0.1431121826171875
94,tropical,1944,298.6272277832031,0.014147440902888775
95,tropical,1945,298.7057800292969,0.09267934411764145
96,tropical,1946,298.8316345214844,0.21852874755859375
97,tropical,1947,298.1609802246094,-0.45213571190834045
98,tropical,1948,297.9796447753906,-0.6334457397460938
99,tropical,1949,298.5209655761719,-0.09211985021829605
100,tropical,1950,298.52593994140625,-0.0871429443359375
101,tropical,1951,298.3629455566406,-0.2501576840877533
102,tropical,1952,298.718994140625,0.1059163436293602
103,tropical,1953,298.8781433105469,0.26500192284584045
104,tropical,1954,298.48480224609375,-0.1282806396484375
105,tropical,1955,298.6728820800781,0.05977122113108635
106,tropical,1956,298.7793884277344,0.166290283203125
107,tropical,1957,298.5504455566406,-0.06267038732767105
108,tropical,1958,298.6957702636719,0.0827128067612648
109,tropical,1959,298.9988098144531,0.38569894433021545
110,tropical,1960,298.5815124511719,-0.03159840777516365
111,tropical,1961,298.6301574707031,0.01708475686609745
112,tropical,1962,298.61126708984375,-0.0018310546875
113,tropical,1963,298.5184020996094,-0.0946909561753273
114,tropical,1964,298.649658203125,0.0365498848259449
115,tropical,1965,298.5099792480469,-0.10312652587890625
116,tropical,1966,298.3298645019531,-0.28322091698646545
117,tropical,1967,298.56109619140625,-0.0520172119140625
118,tropical,1968,298.3840026855469,-0.22908274829387665
119,tropical,1969,298.2713623046875,-0.34176382422447205
120,tropical,1970,298.5837707519531,-0.0293604526668787
121,tropical,1971,298.9017028808594,0.28858184814453125
122,tropical,1972,298.67669677734375,0.0635935440659523
123,tropical,1973,298.42266845703125,-0.19043223559856415
124,tropical,1974,298.5773010253906,-0.03577931597828865
125,tropical,1975,298.4139709472656,-0.19914500415325165
126,tropical,1976,298.7320861816406,0.118988037109375
127,tropical,1977,298.8686218261719,0.25554656982421875
128,tropical,1978,298.603759765625,-0.009318034164607525
129,tropical,1979,298.8558654785156,0.2427520751953125
130,tropical,1980,298.56768798828125,-0.04540761187672615
131,tropical,1981,298.6728210449219,0.05970509722828865
132,tropical,1982,298.82568359375,0.2125956267118454
133,tropical,1983,298.8684387207031,0.25534310936927795
134,tropical,1984,298.6282653808594,0.015131632797420025
135,tropical,1985,298.6976623535156,0.08457692712545395
136,tropical,1986,298.7236633300781,0.11061350256204605
137,tropical,1987,299.0076599121094,0.3945414125919342
138,tropical,1988,298.9361877441406,0.32305654883384705
139,tropical,1989,298.79803466796875,0.18493397533893585
140,tropical,1990,298.9599609375,0.34689584374427795
141,tropical,1991,299.1407470703125,0.5276311039924622
142,tropical,1992,298.6285705566406,0.015467326156795025
143,tropical,1993,298.9783020019531,0.36518606543540955
144,tropical,1994,298.84130859375,0.22821807861328125
145,tropical,1995,298.5479431152344,-0.06516265869140625
146,tropical,1996,298.8243713378906,0.2112884521484375
147,tropical,1997,299.0661926269531,0.45308175683021545
148,tropical,1998,298.820068359375,0.20697784423828125
149,tropical,1999,298.7013244628906,0.08821868896484375
150,tropical,2000,298.9346618652344,0.32153573632240295
151,tropical,2001,299.2811584472656,0.6680781245231628
152,tropical,2002,299.257080078125,0.6439895629882812
153,tropical,2003,299.1119689941406,0.4988657534122467
154,tropical,2004,299.0679626464844,0.45487722754478455
155,tropical,2005,298.93133544921875,0.3182169497013092
156,tropical,2006,299.26727294921875,0.654144287109375
157,tropical,2007,299.44842529296875,0.8353195190429688
158,tropical,2008,298.9020080566406,0.28890737891197205
159,tropical,2009,299.0875244140625,0.47444406151771545
160,tropical,2010,299.2295837402344,0.6165034174919128
161,tropical,2011,299.25927734375,0.6461766362190247
162,tropical,2012,299.6690979003906,1.0560048818588257
163,tropical,2013,299.5126953125,0.8995793461799622
164,tropical,2014,299.0083923339844,0.3952840268611908
165,subtropical,1850,291.07275390625,-0.0897674560546875
166,subtropical,1851,291.1239318847656,-0.03861236572265625
167,subtropical,1852,291.1754455566406,0.01291656494140625
168,subtropical,1853,291.1796875,0.01715087890625
169,subtropical,1854,291.0458984375,-0.11663055419921875
170,subtropical,1855,291.0966491699219,-0.0658925399184227
171,subtropical,1856,291.1046447753906,-0.0579121895134449
172,subtropical,1857,291.0791320800781,-0.08343505859375
173,subtropical,1858,291.1087341308594,-0.0538126640021801
174,subtropical,1859,291.2179870605469,0.05546315386891365
175,subtropical,1860,291.1405334472656,-0.0219879150390625
176,subtropical,1861,291.2174987792969,0.0549672432243824
177,subtropical,1862,291.0653991699219,-0.09710693359375
178,subtropical,1863,291.0983581542969,-0.06417592614889145
179,subtropical,1864,291.106201171875,-0.0563100166618824
180,subtropical,1865,291.224609375,0.06207275390625
181,subtropical,1866,291.20135498046875,0.03884633257985115
182,subtropical,1867,291.1481018066406,-0.014404296875
183,subtropical,1868,291.1073303222656,-0.0552317313849926
184,subtropical,1869,291.1564636230469,-0.00606536865234375
185,subtropical,1870,291.0915832519531,-0.0709635391831398
186,subtropical,1871,291.08740234375,-0.0751444473862648
187,subtropical,1872,291.2162170410156,0.0537109375
188,subtropical,1873,291.2080078125,0.0454915352165699
189,subtropical,1874,291.2047119140625,0.04217529296875
190,subtropical,1875,291.2479248046875,0.085357666015625
191,subtropical,1876,291.228515625,0.0659586563706398
192,subtropical,1877,291.1273498535156,-0.0352020263671875
193,subtropical,1878,291.2077331542969,0.04520924761891365
194,subtropical,1879,291.2325134277344,0.0699920654296875
195,subtropical,1880,291.2482604980469,0.08571115881204605
196,subtropical,1881,291.2237854003906,0.06128692626953125
197,subtropical,1882,291.2847595214844,0.12224069982767105
198,subtropical,1883,291.3180847167969,0.15554554760456085
199,subtropical,1884,291.01416015625,-0.14837646484375
200,subtropical,1885,290.9150695800781,-0.24746958911418915
201,subtropical,1886,291.1098937988281,-0.05260976031422615
202,subtropical,1887,291.11773681640625,-0.04479726031422615
203,subtropical,1888,291.1206359863281,-0.04189809039235115
204,subtropical,1889,291.2230224609375,0.0604909248650074
205,subtropical,1890,291.1989440917969,0.03641001507639885
206,subtropical,1891,291.28533935546875,0.12279510498046875
207,subtropical,1892,291.2835388183594,0.1209564208984375
208,subtropical,1893,291.3282775878906,0.1657358855009079
209,subtropical,1894,291.2660217285156,0.1035105362534523
210,subtropical,1895,291.2778625488281,0.11531320959329605
211,subtropical,1896,291.308837890625,0.1463063508272171
212,subtropical,1897,291.1957092285156,0.03318023681640625
213,subtropical,1898,291.2558898925781,0.09338124841451645
214,subtropical,1899,291.2913513183594,0.1287790983915329
215,subtropical,1900,291.2811584472656,0.11860910803079605
216,subtropical,1901,291.21417236328125,0.05163319781422615
217,subtropical,1902,291.2487487792969,0.08620452880859375
218,subtropical,1903,291.1798095703125,0.0172882080078125
219,subtropical,1904,291.0615539550781,-0.10097503662109375
220,subtropical,1905,291.132080078125,-0.0304743442684412
221,subtropical,1906,291.2322692871094,0.0697123184800148
222,subtropical,1907,291.2225341796875,0.05998992919921875
223,subtropical,1908,291.09051513671875,-0.0720316544175148
224,subtropical,1909,291.1488952636719,-0.013631184585392475
225,subtropical,1910,291.20367431640625,0.0411631278693676
226,subtropical,1911,291.2173767089844,0.0548299141228199
227,subtropical,1912,291.1412658691406,-0.0213038120418787
228,subtropical,1913,291.19268798828125,0.0301386509090662
229,subtropical,1914,291.1603698730469,-0.0021794636268168688
230,subtropical,1915,291.08172607421875,-0.08082834631204605
231,subtropical,1916,291.2342529296875,0.0717315673828125
232,subtropical,1917,291.0951843261719,-0.0673268660902977
233,subtropical,1918,291.2047424316406,0.04221343994140625
234,subtropical,1919,291.2345886230469,0.07203420251607895
235,subtropical,1920,291.2044982910156,0.0419565849006176
236,subtropical,1921,291.1967468261719,0.03421274945139885
237,subtropical,1922,291.2184143066406,0.0558522529900074
238,subtropical,1923,291.3448181152344,0.1822458952665329
239,subtropical,1924,291.1795959472656,0.01706695556640625
240,subtropical,1925,291.2078857421875,0.04534657672047615
241,subtropical,1926,291.27899169921875,0.11644235998392105
242,subtropical,1927,291.3048095703125,0.14227294921875
243,subtropical,1928,291.4011535644531,0.2386271208524704
244,subtropical,1929,291.3213195800781,0.15879566967487335
245,subtropical,1930,291.2676086425781,0.1050669327378273
246,subtropical,1931,291.20782470703125,0.0453033447265625
247,subtropical,1932,291.3412780761719,0.1787363737821579
248,subtropical,1933,291.2575378417969,0.0950063094496727
249,subtropical,1934,291.20892333984375,0.0463918037712574
250,subtropical,1935,291.2603454589844,0.09781137853860855
251,subtropical,1936,291.3316955566406,0.1691792756319046
252,subtropical,1937,291.2999572753906,0.1374053955078125
253,subtropical,1938,291.1926574707031,0.03012847900390625
254,subtropical,1939,291.265869140625,0.1033376082777977
255,subtropical,1940,291.34796142578125,0.18545787036418915
256,subtropical,1941,291.2064514160156,0.04391733929514885
257,subtropical,1942,291.2587585449219,0.0961812362074852
258,subtropical,1943,291.228759765625,0.06623586267232895
259,subtropical,1944,291.2779846191406,0.11546071618795395
260,subtropical,1945,291.2982177734375,0.1356557160615921
261,subtropical,1946,291.3376159667969,0.1750895231962204
262,subtropical,1947,291.263916015625,0.10135141760110855
263,subtropical,1948,291.1709899902344,0.008448283188045025
264,subtropical,1949,291.2403869628906,0.0778401717543602
265,subtropical,1950,291.2201843261719,0.05762481689453125
266,subtropical,1951,291.2564392089844,0.09392038732767105
267,subtropical,1952,291.2891540527344,0.12661997973918915
268,subtropical,1953,291.278076171875,0.11554209142923355
269,subtropical,1954,291.28375244140625,0.12121836096048355
270,subtropical,1955,291.29193115234375,0.12939198315143585
271,subtropical,1956,291.091064453125,-0.0714772567152977
272,subtropical,1957,291.014892578125,-0.14762623608112335
273,subtropical,1958,291.3702087402344,0.207672119140625
274,subtropical,1959,291.15985107421875,-0.0026575725059956312
275,subtropical,1960,291.1753845214844,0.012860615737736225
276,subtropical,1961,291.1677551269531,0.00521087646484375
277,subtropical,1962,291.1361389160156,-0.02638753317296505
278,subtropical,1963,291.1676330566406,0.0051116943359375
279,subtropical,1964,290.937744140625,-0.22478993237018585
280,subtropical,1965,291.02313232421875,-0.13942718505859375
281,subtropical,1966,291.0754699707031,-0.087066650390625
282,subtropical,1967,291.0550231933594,-0.1075337752699852
283,subtropical,1968,291.0079650878906,-0.1545766144990921
284,subtropical,1969,291.1339111328125,-0.0286432895809412
285,subtropical,1970,291.08294677734375,-0.0795644149184227
286,subtropical,1971,291.20703125,0.04449462890625
287,subtropical,1972,291.097412109375,-0.06509653478860855
288,subtropical,1973,291.20953369140625,0.04699452593922615
289,subtropical,1974,291.2076721191406,0.0451304130256176
290,subtropical,1975,291.0899963378906,-0.07252248376607895
291,subtropical,1976,291.1761474609375,0.013593037612736225
292,subtropical,1977,291.1200866699219,-0.0424346923828125
293,subtropical,1978,291.2398986816406,0.0773722305893898
294,subtropical,1979,291.32177734375,0.1592458039522171
295,subtropical,1980,291.2082214355469,0.045684814453125
296,subtropical,1981,291.38800048828125,0.22546131908893585
297,subtropical,1982,291.22125244140625,0.0587005615234375
298,subtropical,1983,291.1437072753906,-0.01883951760828495
299,subtropical,1984,291.3006896972656,0.13815562427043915
300,subtropical,1985,291.21697998046875,0.0544230155646801
301,subtropical,1986,291.2275695800781,0.0650177001953125
